2021_global_rank_forbes_2000_2020,company_name,industry,scope_1_ghg_emissions_tons_co₂e_2020,scope_2_emissions__tons_co₂e_2020,scope_3_emissions__tons_co₂e_2020,scope_1_ghg_emissions_tons_co₂e.1_2020,scope_2_emissions__tons_co₂e_(location_based_when_available)_2020,scope_1+2_2020,scope_3_emissions__tons_co₂e.1_2020,scope_1-3_emissions_2020,profit_per_ton_in_scope_1+2_2020,profit_per_ton_in_scope_1+2+3_2020,share_of_profit_if_carbon_price_for_scope_1-2_is_100_usd_2020,share_of_profit_if_carbon_price_x_for_scope_3_2020,combined_share_of_profits_2020,share_of_revenue_(sales)_scope_1+2_if_carbon_price_100_usd_2020,share_of_revenue_(sales)_scope_1+2+3_if_carbon_price_100_usd_2020,co2_intensity_gram_co2/usd._(scope_1-3/revenue)_2020,1%_of_profit_means_2020,"datasource_emission_data_(name,_link_+_page_nr)_2020",sales/revenue_2020,profit_2020,2021_forbes_rank_(2022_list)_2021,2021_scope_1_emissions_tons_co₂e_2021,2021_scope_2_emissions_tons_co₂e_2021,2021_scope_3_emissions_tons_co₂e_2021,2021_scope_1+2_2021,2021_scope_1-3_2021,2021_sales_/_revenue_(million_usd)_2021,2021_profit_(million_usd)_2021,2021_profit_per_scope_1+2+3_emissions_2021,2021_profit_per_scope_1+2_emissions_2021,2022_co2_intensity__(gram_co2_per_usd)_2021,2021-2022_datasource_emission_data_2021,2022_forbes_rank_(2023_list)_2022,2022_scope_1_emissions_tons_co₂e_2022,2022_scope_2_emissions_tons_co₂e_2022,2022_scope_3_emissions_tons_co₂e_2022,2022_scope_1+2_2022,2022_scope_1-3_2022,2022_sales_/_revenue_(millions_usd)_2022,2022_profit_(millions_usd)_2022,2022profit_per_scope_1+2+3_emissions_2022,2022profit_per_scope_1+2_emissions_2022,2022_co2_intensity__(gram_co2_per_usd)_2022,2021-2022_datasource_emission_data_2022
1.0,ICBC         ,Banking,,,,,,,,,,,#VALUE!,#VALUE!,,,#VALUE!,,,http://v.icbc.com.cn/userfiles/Resources/ICBCLTD/download/2021/2020shzrEN202103.pdf,$190 500 000 000,45770000000.0,,,,,,,,,,,,,,,,,,,,,,,,
2.0,JPMorgan Chase        ,Diversified Financials,81655.0,692299.0,181 004,69 570,660 601,730 171,36 169,766 340,$55 288,$52 679,#REF!,#REF!,#REF!,#REF!,#REF!,6,$527,"2020 Environmental Social & Governance Report, page 32 https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/documents/jpmc-esg-report-2020.pdf",$136 200 000 000,40370000000.0,,,,,,,,,,,,,,,,,,,,,,,,
3.0,Berkshire Hathaway        ,Diversified Financials,,,,,,,,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.brkenergy.com/assets/pdf/sustainability-berkshire-hathaway-energy.pdf,$245 500 000 000,42520000000.0,,,,,,,,,,,,,,,,,,,,,,,,
4.0,China Construction Bank       ,Banking,17936.0,254092.0,--,18 615,332 461,351 076,--,,$111 942,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Social and Governance Reporting Guide, page 36 http://www.ccb.com/en/newinvestor/upload/20210327_1616775640/20210327001724508034.pdf",$173 500 000 000,39300000000.0,,,,,,,,,,,,,,,,,,,,,,,,
5.0,Saudi Arabian Oil Company (Saudi Aramco)    ,Oil & Gas Operations,52000000.0,19000000.0,1 600 000 000,49 100 000,17 900 000,67 000 000,--,,$736,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"saudi-aramco-ara-2020, page 78, https://www.aramco.com/-/media/publications/corporate-reports/saudi-aramco-ara-2020-english.pdf ;  Source link for 2019 scope 3 emissions https://www.clientearth.org/projects/the-greenwashing-files/aramco/#:~:text=In%202019%2C%20Aramco's%20Scope%203,equivalent%20%E2%80%93%20over%2012%2C000%20times%20more.",$229 700 000 000,49280000000.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Apple         ,Technology Hardware & Equipment,52730.0,0.0,24 980 000,47 430,0,47 430,22 550 000,22 597 430,$1 347 881,$2 829,#REF!,#REF!,#REF!,#REF!,#REF!,77,$28,"Environmental Progress Report - Apple, page 67 https://www.apple.com/environment/pdf/Apple_Environmental_Progress_Report_2021.pdf",$294 000 000 000,63930000000.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Bank of America       ,Banking,62639.0,746294.0,4 867 841,53 390,657 635,711 025,3 291 394,4 002 419,$25 161,$4 470,#REF!,#REF!,#REF!,#REF!,#REF!,41,$45,"2019 Environmental, Social & Governance Performance Data Summary, page 11 file:///C:/Users/muham/Downloads/ESGData2019_R26_Final.pdf ; 2020 Independent Reasonable and Limited Assurance Statement, page 5 https://about.bankofamerica.com/content/dam/about/pdfs/2020_Assurance_Statement_ISAE_3000_Final.pdf",$98 800 000 000,17890000000.0,,,,,,,,,,,,,,,,,,,,,,,,
6.0,Ping An Insurance Group      ,Insurance,7156.0,720605.0,69 490 000,2 114,478 287,480 401,49 897,530 298,$43 193,$39 129,#REF!,#REF!,#REF!,#REF!,#REF!,3,$391,"Ping-An-2020-Sustainability-Report, Page 111 https://group.pingan.com/resource/pingan/ESG/Report/Ping-An-2020-Sustainability-Report.pdf ; Ping An 2019 Sustainability Report, page 44 http://www.pingan.com/app_upload/images/info/upload/2a9a2d56-88f3-451f-af2e-e3e6c19d2483.pdf?_ga=2.186661162.307943061.1646826890-1708395438.1646826890",$169 100 000 000,20750000000.0,,,,,,,,,,,,,,,,,,,,,,,,
9.0,Agricultural Bank of China      ,Banking,,,,,,,,,,,#VALUE!,#VALUE!,,,#VALUE!,,,https://www.abchina.com/en/AboutUs/csr-report/202003/P020200402552823524561.pdf ; https://www.abchina.com/en/AboutUs/csr-report/202103/P020210330724856060672.pdf,$153 900 000 000,31300000000.0,,,,,,,,,,,,,,,,,,,,,,,,
10.0,Amazon         ,Retailing,5760000.0,5500000.0,39 910 000,9 620 000,5 270 000,14 890 000,45 750 000,60 640 000,$1 433,$352,#REF!,#REF!,#REF!,#REF!,#REF!,157,$4,"Amazon's 2020 Sustainability Report, page 111 https://sustainability.aboutamazon.com/amazon-sustainability-2020-report.pdf",$386 100 000 000,21330000000.0,,,,,,,,,,,,,,,,,,,,,,,,
11.0,Samsung Electronics,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment",5067000.0,8733000.0,16 607 000,5 726 000,9 079 000,14 805 000,14 726 000,29 531 000,$1 493,$749,#REF!,#REF!,#REF!,#REF!,#REF!,147,$7,"Samsung 2021 Sustainability report, page 81 https://images.samsung.com/is/content/samsung/assets/global/our-values/resource/2021_Sustainability_Report.pdf",$200 700 000 000,22110000000.0,,,,,,,,,,,,,,,,,,,,,,,,
12.0,Toyota Motor        ,Consumer Durables,1900000.0,3780000.0,397 940 000,,,,,,,,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"Environmental Report 2020, page 37,38 https://global.toyota/pages/global_toyota/sustainability/report/er/er20_en.pdf",$249 400 000 000,14340000000.0,,,,,,,,,,,,,,,,,,,,,,,,
13.0,Alphabet         ,IT Software & Services,66686.0,5911216.0,11 669 000,38 694,5 865 000,5 903 694,9 376 000,15 279 694,$6 821,$2 636,#REF!,#REF!,#REF!,#REF!,#REF!,84,$26,"2021 Environmental Report, page 11 https://www.gstatic.com/gumdrop/sustainability/google-2021-environmental-report.pdf",$182 400 000 000,40270000000.0,,,,,,,,,,,,,,,,,,,,,,,,
14.0,Bank of China       ,Banking,350.0,65083.0,39 000,282,63 394,63 676,-,,$438 941,,#REF!,#VALUE!,,#REF!,#VALUE!,0,,"Sustainability Report 2020, page 88 https://www.bochk.com/dam/bochk/desktop/top/aboutus/esg/report/SustainabilityReport2020_en.pdf",$134 000 000 000,27950000000.0,,,,,,,,,,,,,,,,,,,,,,,,
15.0,Microsoft         ,IT Software & Services,117956.0,3832938.0,12 007 357,118 100,4 102 000,4 220 100,10 817 706,15 037 806,$12 158,$3 412,#REF!,#REF!,#REF!,#REF!,#REF!,98,$34,"2020 Environmental Sustainability Report, page 73 https://query.prod.cms.rt.microsoft.com/cms/api/am/binary/RWyG1q",$153 300 000 000,51310000000.0,,,,,,,,,,,,,,,,,,,,,,,,
16.0,Citigroup         ,Diversified Financials,23095.0,56878.0,126 229,21 236,505 224,526 460,21 829,548 289,$32 424,$31 133,#REF!,#REF!,#REF!,#REF!,#REF!,6,$311,"Global ESG Report, page 57 and 58 https://www.citigroup.com/citi/about/esg/download/2020/Global-ESG-Report-2020.pdf?ieNocache=158",$84 400 000 000,17070000000.0,,,,,,,,,,,,,,,,,,,,,,,,
17.0,Volkswagen Group        ,Consumer Durables,4400000.0,3360000.0,447 000 000,4 340 000,2 800 000,7 140 000,368 000 000,375 140 000,$1 331,$25,#REF!,#REF!,#REF!,#REF!,#REF!,1 476,$0,"Nonfinancial_Report_2020, page 89 https://www.volkswagenag.com/presence/nachhaltigkeit/documents/sustainability-report/2020/Nonfinancial_Report_2020_e.pdf",$254 100 000 000,9500000000.0,,,,,,,,,,,,,,,,,,,,,,,,
18.0,Walmart         ,Retailing,6520000.0,12160000.0,--,7 250 000,8 680 000,15 930 000,--,,$848,,#REF!,#VALUE!,,#REF!,#VALUE!,,,https://corporate.walmart.com/esgreport/esg-issues/climate-change,$559 200 000 000,13510000000.0,,,,,,,,,,,,,,,,,,,,,,,,
19.0,Wells Fargo        ,Banking,91993.0,771327.0,3 610 451,82 403,694 011,776 414,2 467 847,3 244 261,$9 518,$2 278,#REF!,#REF!,#REF!,#REF!,#REF!,38,$23,"Goals and Reporting, page 33 https://www08.wellsfargomedia.com/assets/pdf/about/corporate-responsibility/goals-performance-data.pdf",$85 900 000 000,7390000000.0,,,,,,,,,,,,,,,,,,,,,,,,
20.0,Verizon Communications        ,Telecommunications Services,358753.0,4006874.0,95 971,--,--,--,--,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,#VALUE!,#VALUE!,,,"2020 ESG Report, page 42 https://www.verizon.com/about/sites/default/files/esg-report/2020/Verizon_2020_ESG_Report.pdf",$128 300 000 000,17800000000.0,,,,,,,,,,,,,,,,,,,,,,,,
21.0,UnitedHealth Group        ,Insurance,17709.0,153004.0,429 812,24 487,156 751,181 238,213 495,394 733,$93 137,$42 763,#REF!,#REF!,#REF!,#REF!,#REF!,2,$428,"2020_SustainabilityReport, page 62 https://www.unitedhealthgroup.com/content/dam/UHG/PDF/sustainability/final/2020_SustainabilityReport.pdf",$262 900 000 000,16880000000.0,,,,,,,,,,,,,,,,,,,,,,,,
22.0,China Merchants Bank       ,Banking,1621.0,8437.0,--,1 393,8 198,9 591,--,,$1 469 086,,#REF!,#VALUE!,,#REF!,#VALUE!,,,"Corporate Social Responsibility Report, page 118 http://file.cmbimg.com/cmbir/202105/af4c85d5-b889-4e0e-8935-7c3df6cdb9bc.pdf",$60 400 000 000,14090000000.0,,,,,,,,,,,,,,,,,,,,,,,,
